city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
Gariāband,25.38,20.635,82.0614,89,99,2.42,IN,1657878673
Polyanka,20.71,50.2584,27.6881,66,73,4.32,UA,1657878675
Shimoda,23.39,34.6667,138.95,91,98,1.02,JP,1657878677
Lagoa,20.11,39.05,-27.9833,90,5,6.34,PT,1657878679
Provideniya,9.53,64.3833,-173.3,77,92,1.72,RU,1657878681
Khilok,23.55,51.3674,110.4676,51,97,2.33,RU,1657878683
Ulladulla,8.67,-35.35,150.4667,77,1,2.59,AU,1657878685
Solwezi,24.23,-12.1688,26.3894,33,0,2.9,ZM,1657878690
Jalu,30.86,29.0331,21.5482,25,0,3.88,LY,1657878694
Kem',18.81,64.9555,34.5793,62,89,4.86,RU,1657878696
Torbay,13.63,47.6666,-52.7314,95,100,1.54,CA,1657878698
Ahome,28.17,25.9167,-109.1833,76,99,1.71,MX,1657878700
Puerto Ayacucho,22.01,5.6639,-67.6236,94,45,1.06,VE,1657878411
Esperance,15.91,-33.8667,121.9,77,21,10.22,AU,1657878705
Vilhena,17.95,-12.7406,-60.1458,64,80,1.35,BR,1657878550
Flinders,10.22,-34.5833,150.8552,75,1,1.79,AU,1657878709
Sabzawār,35.6,36.2126,57.6819,11,0,10.8,IR,1657878572
San Ignacio,24.08,17.1561,-89.0714,94,0,0.0,BZ,1657878713
Statesville,19.86,35.7826,-80.8873,66,0,0.0,US,1657878717
Chokurdakh,18.32,70.6333,147.9167,57,100,0.65,RU,1657878719
Oistins,27.05,13.0667,-59.5333,83,40,10.8,BB,1657878722
Sitka,13.94,57.0531,-135.33,82,100,0.0,US,1657878724
Rūdbār,40.52,30.15,62.6,9,5,2.54,AF,1657878726
Makakilo City,24.79,21.3469,-158.0858,69,0,6.17,US,1657878728
Marsh Harbour,27.64,26.5412,-77.0636,72,72,6.29,BS,1657878730
Arrondissement de Gap,23.24,44.6667,6.0,34,2,2.72,FR,1657878732
Meulaboh,29.29,4.1363,96.1285,69,26,4.98,ID,1657878734
Belmonte,21.71,-15.8631,-38.8828,86,65,2.67,BR,1657878737
Revda,24.08,56.801,59.9303,57,83,6.28,RU,1657878739
Ancud,3.46,-41.8697,-73.8203,83,33,3.87,CL,1657878747
Mutoko,22.15,-17.397,32.2268,28,22,2.25,ZW,1657878749
Mahālingpur,27.88,16.3833,75.1167,60,96,12.45,IN,1657878751
San Rafael,3.46,-34.6177,-68.3301,67,100,1.8,AR,1657878754
Fergus Falls,21.1,46.283,-96.0776,86,75,4.12,US,1657878758
Port Macquarie,9.38,-31.4333,152.9167,75,0,2.33,AU,1657878760
Winnemucca,20.03,40.973,-117.7357,19,0,2.57,US,1657878765
Geraldton,16.23,-28.7667,114.6,88,73,3.09,AU,1657878767
Zholymbet,30.38,51.7433,71.7122,32,68,3.35,KZ,1657878771
Dzhebariki-Khaya,24.41,62.2167,135.8,73,99,0.21,RU,1657878773
Gwadar,30.03,25.1216,62.3254,72,94,3.79,PK,1657878775
Cap Malheureux,24.7,-19.9842,57.6142,63,75,3.13,MU,1657878777
Baykit,14.45,61.67,96.37,73,99,2.45,RU,1657878514
Mauá,16.1,-23.6678,-46.4614,68,10,3.09,BR,1657878781
Marawi,22.18,7.9986,124.2928,96,100,0.64,PH,1657878783
Dudinka,19.79,69.4058,86.1778,42,40,4.14,RU,1657878782
Dingle,27.47,10.9995,122.6711,85,100,0.66,PH,1657878788
Dalen,18.48,52.6992,6.7556,63,70,4.92,NL,1657878790
Zyryanka,24.36,65.75,150.85,58,1,0.23,RU,1657878792
